591.62,118.86,617.21,190.42,5,-0.54591
960.98,195.01,983.17,257.23,5,-0.65815
421.03,41.086,452.69,129.34,6,-0.76841
635.16,6.3828,657.35,68.594,6,-0.82958
503.69,92.125,525.88,154.34,5,-0.86863
206.45,120.71,245.79,182.92,4,-0.87986
1101,43.987,1135,138.62,5,-0.90819
264.1,49.678,306.32,116.4,4,-0.91309
608.67,150,629.33,208,6,-0.96696
545.92,49.678,588.13,116.4,3,-0.97447
592.67,48.667,629.33,106.67,4,-0.9858
634.03,113.26,661.51,190.01,6,-0.98855
893.66,171.39,938.95,242.95,4,-1.011
578.48,118.86,669.74,262.64,4,-1.0145
566.56,143.57,588.76,205.78,6,-1.0162
835.22,183.58,880.28,234.36,1,-1.0375
525.95,184.52,735.4,420.23,1,-1.045
778.06,143.57,800.26,205.78,5,-1.0547
656.67,75.333,677.33,133.33,5,-1.0653
987.02,300.86,1035.4,355.33,1,-1.0677
555.16,0.66667,797.09,381.22,4,-1.0812
1170.7,28.524,1235,130,3,-1.1052
184.52,26.931,236.38,170.72,6,-1.1102
453.36,65.337,565.87,242.51,4,-1.139
815.48,92.563,839.32,159.29,5,-1.1487
257.89,315.05,297.24,377.26,3,-1.1511
928.67,198,965.33,256,4,-1.1524
0.66667,27.333,42.667,74.667,1,-1.1534
1176.9,0.66667,1274.3,269.56,6,-1.1633
1179,0.66667,1316.9,381.22,6,-1.1681
412.23,92.125,491.59,217.21,4,-1.1743
328.97,92.592,380.83,236.38,5,-1.1815
103.56,17.815,142.9,80.026,4,-1.1915
552.22,-64.994,656.61,52.529,2,-1.1946
1066.3,0.66667,1135,77.976,1,-1.2004
983.84,195.01,1023.2,257.23,3,-1.2054
480.82,-90.791,663.07,114.32,1,-1.2057
384.67,16.667,421.33,74.667,3,-1.2117
103.56,240.74,148.62,291.52,1,-1.2155
903.81,80.692,943.16,142.9,3,-1.2228
1086.8,-14.418,1191.7,150.85,3,-1.2314
264.1,129.32,312.45,183.79,1,-1.237
303.27,127.34,351.87,204.08,4,-1.2544
223.53,0.66667,817.16,668.58,1,-1.2578
136.43,-21.961,165.93,60.34,5,-1.2582
811.33,27.333,848,85.333,3,-1.262
962.51,202.84,1004.7,269.56,4,-1.2633
89.589,0.66667,153.59,72.754,2,-1.2675
816.67,310,858.67,357.33,1,-1.2701
0.66667,154.26,64.671,226.35,2,-1.2759
966,171.33,986.67,229.33,5,-1.2891
920.96,326.49,966.03,377.26,1,-1.2941
880.34,85.115,928.93,161.86,3,-1.3068
892.38,0.66667,983.17,102.89,1,-1.3082
800.67,54,842.67,170.67,6,-1.3141
832.67,6,853.33,64,6,-1.3148
978.12,86.409,1017.5,148.62,3,-1.3162
1023.8,319.24,1072.1,373.71,2,-1.3253
952.75,99.158,1004.6,157.59,1,-1.3298
59.762,145.12,85.359,216.68,6,-1.3349
822,128.67,858.67,186.67,3,-1.3422
114.99,160.72,154.34,222.93,3,-1.3423
824.04,310.31,879.67,372.98,2,-1.3458
957.75,113.26,1055.6,267.42,4,-1.3568
-5.0495,46.396,40.013,97.174,2,-1.3571
1054.4,-48.344,1139.5,85.769,3,-1.3688
520.68,-296.48,1114.3,371.43,1,-1.3719
1101,173.95,1135,268.58,5,-1.3757
-45.062,-45.062,45.729,57.161,2,-1.3957
76.091,234.48,135.76,301.7,1,-1.3982
0.66667,-45.062,365.83,365.83,1,-1.4182
-137.96,-345.89,415.87,277.25,2,-1.4194
1056.6,-120.01,1297.3,150.85,1,-1.429
74.954,-296.48,668.58,371.43,2,-1.4683
1067.3,-212.67,1408,170.67,1,-1.4708
1115.7,196.71,1157.9,263.43,3,-1.4756
970.73,-258.02,1487.4,323.35,1,-1.5305
